Canción ,Álbum,Compositor oficial,Compositor principal,clasificación
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Favorita
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
A day in the life,Sgt. Pepper’s Lonely Hearts Club Band,Lennon-McCartney,Lennon,Mejor canción
